file,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens,effective_billed_input,effective_billed_total,cache_ratio
.codex/sessions/2025/09/14/rollout-2025-09-14T23-15-27-f947d8d4-2d3a-4989-8e02-8e02ec0e5637.jsonl,7925,7808,40,0,4021,4061,0.985237
.codex/sessions/2025/09/14/rollout-2025-09-14T22-48-20-922d3fbf-556e-4554-973d-dd04fd3f189a.jsonl,11430,11264,454,384,5798,6636,0.985477
.codex/sessions/2025/09/14/rollout-2025-09-14T22-59-31-71128d0d-a2b6-4a4e-8691-683b0c69c490.jsonl,7512,0,1893,1728,7512,11133,0.000000
.codex/sessions/2025/09/14/rollout-2025-09-14T23-01-17-5d283b07-4645-4d56-a992-0ddf1c0d1753.jsonl,8118,7936,653,512,4150,5315,0.977581
.codex/sessions/2025/09/14/rollout-2025-09-14T23-35-59-731a7c74-41d4-4b81-868d-f9b0cf231e66.jsonl,7832,7680,40,0,3992,4032,0.980592
.codex/sessions/2025/09/26/rollout-2025-09-26T03-50-09-01998537-2b7d-7a70-9b27-8135a6dc3849.jsonl,94552,71936,1067,832,58584,60483,0.760809
.codex/sessions/2025/09/26/rollout-2025-09-26T18-04-53-01998845-b539-7bc2-9682-b8db4be26be3.jsonl,2795,2048,71,64,1771,1906,0.732737
.codex/sessions/2025/09/26/rollout-2025-09-26T03-19-05-0199851a-b952-7473-9e0d-17e1010cc7dd.jsonl,23063,11136,227,128,17495,17850,0.482851
.codex/sessions/2025/09/26/rollout-2025-09-26T20-28-05-019988c8-cda9-75a3-9a38-9156dd9299bc.jsonl,106798,101120,120,0,56238,56358,0.946834
.codex/sessions/2025/09/26/rollout-2025-09-26T03-45-22-01998532-cc9f-7012-9d63-cacd6214e199.jsonl,8590,6912,67,0,5134,5201,0.804657
.codex/sessions/2025/09/26/rollout-2025-09-26T18-11-19-0199884b-97c8-76e3-8927-eca63afcd909.jsonl,2795,1920,7,0,1835,1842,0.686941
.codex/sessions/2025/09/26/rollout-2025-09-26T22-52-23-0199894c-eb11-7931-8c4a-c500e3f10f4f.jsonl,5715,2048,177,128,4691,4996,0.358355
